task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,ram_total_size,tracking_mode,on_cloud,gpu_util_pct,gpu_active_mem_mb,gpu_reserved_mem_mb,cpu_util_pct,process_ram_res_mb,system_ram_gb,disk_read_mb
Step #2,2026-03-07T12:01:02,energy-efficiency,1b38e834-4038-4aa9-9d75-6d3c0ea3f4d9,0.2707403525710106,1.6398040117849124e-07,6.047844518730519e-07,360.0,183.5039134824963,10.0,2.7086764201521872e-05,1.3808344391463834e-05,7.522409781813621e-07,4.164734957116707e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,34,3017.90283203125,5734.0,0.4,4736.5859375,13.264545440673828,0.05078125
Step #4,2026-03-07T12:01:03,energy-efficiency,1b38e834-4038-4aa9-9d75-6d3c0ea3f4d9,0.26935485377907753,1.6564486485477195e-07,6.14554096375878e-07,360.0,192.37735823966077,10.0,2.6930199190974236e-05,1.4391955957648861e-05,7.479309207863277e-07,4.207008606940943e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,97,3016.24658203125,5734.0,0.5,4743.8046875,13.268444061279297,0.05078125
Step #6,2026-03-07T12:01:03,energy-efficiency,1b38e834-4038-4aa9-9d75-6d3c0ea3f4d9,0.2710617557168007,1.6618160230475908e-07,6.127752545622374e-07,360.0,190.69232153175787,10.0,2.7098781615495685e-05,1.4355011501265835e-05,7.526122447517182e-07,4.220640536151323e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,97,3016.24658203125,5734.0,0.4,4747.359375,13.269638061523438,0.05078125
Step #8,2026-03-07T12:01:04,energy-efficiency,1b38e834-4038-4aa9-9d75-6d3c0ea3f4d9,0.2699609324336052,1.6521461129123987e-07,6.117678183835328e-07,360.0,190.74724921870364,10.0,2.6938475668430322e-05,1.4274178099071833e-05,7.481575322647888e-07,4.1960811299766935e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,97,3016.24658203125,5734.0,0.4,4749.88671875,13.272499084472656,0.05078125
Step #10,2026-03-07T12:01:04,energy-efficiency,1b38e834-4038-4aa9-9d75-6d3c0ea3f4d9,0.270188070833683,1.652983402129074e-07,6.116974744226616e-07,360.0,190.8368251760081,10.0,2.694782279431819e-05,1.4285844756045663e-05,7.484090204040212e-07,4.198207657076788e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,98,3016.24658203125,5734.0,0.5,4754.47265625,13.275741577148438,0.05078125
Step #12,2026-03-07T12:01:05,energy-efficiency,1b38e834-4038-4aa9-9d75-6d3c0ea3f4d9,0.27145034074783325,1.6922081048763295e-07,6.232851946891764e-07,360.0,202.59603124024477,10.0,2.7020627632737173e-05,1.5207234383751711e-05,7.504341606464656e-07,4.297829617713533e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,97,3016.24658203125,5734.0,0.5,4759.80859375,13.278739929199219,0.05078125
Step #14,2026-03-07T12:01:05,energy-efficiency,1b38e834-4038-4aa9-9d75-6d3c0ea3f4d9,0.2709139697253704,1.77701142612777e-07,6.5550949865323e-07,360.0,230.16323548355956,10.0,2.7071399986743934e-05,1.7308902741319798e-05,7.518078924881091e-07,4.513211062055181e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,97,3016.24658203125,5734.0,0.5,4773.05078125,13.287872314453125,0.05078125
Step #16,2026-03-07T12:01:06,energy-efficiency,1b38e834-4038-4aa9-9d75-6d3c0ea3f4d9,0.27098602801561356,1.772885691989203e-07,6.540494668897381e-07,360.0,228.87567490962405,10.0,2.7066700160503402e-05,1.7208902661991488e-05,7.517233904865055e-07,4.502732621298138e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,97,3016.24658203125,5734.0,0.5,4773.90625,13.289554595947266,0.05078125
Step #18,2026-03-07T12:01:06,energy-efficiency,1b38e834-4038-4aa9-9d75-6d3c0ea3f4d9,0.2699234113097191,1.7686451682875269e-07,6.548235773573984e-07,360.0,228.68961351309167,10.0,2.7010278403759004e-05,1.7159180387693596e-05,7.501676161256102e-07,4.491962640757819e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,96,3016.24658203125,5734.0,0.5,4786.03515625,13.298564910888672,0.05078125
Step #20,2026-03-07T12:01:07,energy-efficiency,1b38e834-4038-4aa9-9d75-6d3c0ea3f4d9,0.27032098919153214,1.8106046566414255e-07,6.697609611030052e-07,360.0,236.38637160745904,10.0,2.7300137281417828e-05,1.7926958790326353e-05,7.582073720792931e-07,4.598530344382352e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,96,3016.24658203125,5734.0,0.5,4793.5,13.304813385009766,0.05078125
