task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,ram_total_size,tracking_mode,on_cloud,gpu_util_pct,gpu_active_mem_mb,gpu_reserved_mem_mb,cpu_util_pct,process_ram_res_mb,system_ram_gb,disk_read_mb
Step #1,2026-03-31T21:42:11,energy-efficiency,e9d72538-7437-48dc-bb88-7446a1fc7eab,2.676105685532093,1.332585214799423e-06,4.979021387839227e-07,360.0,84.86018801866918,10.0,0.00026786407604813576,6.314227275083795e-05,7.440452619145315e-06,0.00033844680141811905,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,4,3020.71533203125,4114.0,1.0,1634.0078125,17.794490814208984,0.0078125
Step #2,2026-03-31T21:42:11,energy-efficiency,e9d72538-7437-48dc-bb88-7446a1fc7eab,0.27611494809389114,1.6558147564114675e-07,6.000394642977799e-07,360.0,178.99038172320968,10.0,2.7576445415616034e-05,1.3711677624428376e-05,7.658635887006921e-07,4.205398662874508e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,25,3017.90283203125,5734.0,1.0,1659.43359375,17.858417510986328,0.0078125
Step #3,2026-03-31T21:42:12,energy-efficiency,e9d72538-7437-48dc-bb88-7446a1fc7eab,0.2743443585932255,1.665522339164713e-07,6.077677904495777e-07,360.0,186.02116436944448,10.0,2.7387417107820533e-05,1.4152511326415151e-05,7.606090563866822e-07,4.2300537490622375e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,64,3016.24658203125,5734.0,0.8,1660.28125,17.88434600830078,0.0078125
Step #4,2026-03-31T21:42:12,energy-efficiency,e9d72538-7437-48dc-bb88-7446a1fc7eab,0.2733931131660938,1.5642677456823314e-07,5.71899323771139e-07,360.0,153.31295817787972,10.0,2.7330136299133273e-05,1.1639731525292518e-05,7.590297506087359e-07,3.972889757503453e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,65,3016.24658203125,5734.0,0.8,1660.28125,17.90789794921875,0.0078125
Step #5,2026-03-31T21:42:12,energy-efficiency,e9d72538-7437-48dc-bb88-7446a1fc7eab,0.27229251340031624,1.5556434613849252e-07,5.711738257648034e-07,360.0,147.80475528747294,10.0,2.7468642219901068e-05,1.1278342356035864e-05,7.628754919601805e-07,3.950986006789718e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,62,3016.24658203125,5734.0,0.8,1666.83203125,17.922603607177734,0.0078125
Step #6,2026-03-31T21:42:13,energy-efficiency,e9d72538-7437-48dc-bb88-7446a1fc7eab,0.27706561982631683,1.5354328777430532e-07,5.542951233299519e-07,360.0,138.1570596398687,10.0,2.7626522630453125e-05,1.0602786247204676e-05,7.672476271788274e-07,3.899655650483659e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,67,3016.24658203125,5734.0,0.8,1667.8671875,17.923744201660156,0.0078125
Step #7,2026-03-31T21:42:13,energy-efficiency,e9d72538-7437-48dc-bb88-7446a1fc7eab,0.27464404702186584,1.5130689047850283e-07,5.509781001245417e-07,360.0,134.62055722173568,10.0,2.741494514048098e-05,1.0252230424612208e-05,7.613861105508279e-07,3.8428561675644e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,63,3016.24658203125,5734.0,0.7,1667.8671875,17.924224853515625,0.0078125
Step #8,2026-03-31T21:42:13,energy-efficiency,e9d72538-7437-48dc-bb88-7446a1fc7eab,0.27510374411940575,1.5113653665737602e-07,5.489166680417649e-07,360.0,132.2657007046426,10.0,2.751239761710167e-05,1.0108896987048865e-05,7.640010159876614e-07,3.8385295620138116e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,71,3016.24658203125,5734.0,0.8,1669.92578125,17.963512420654297,0.0078125
Step #9,2026-03-31T21:42:14,energy-efficiency,e9d72538-7437-48dc-bb88-7446a1fc7eab,0.27380824089050293,1.6635929674836033e-07,6.070201631408589e-07,360.0,184.72102649330222,10.0,2.741974852979185e-05,1.4070289040546413e-05,7.614982003966965e-07,4.2251535770734946e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,22,3016.24658203125,5734.0,0.8,1671.05859375,18.155078887939453,0.0078125
Step #10,2026-03-31T21:42:14,energy-efficiency,e9d72538-7437-48dc-bb88-7446a1fc7eab,0.27288728579878807,1.649014221285781e-07,6.041585924994905e-07,360.0,181.55220806271828,10.0,2.733568772673604e-05,1.378639990434749e-05,7.591806352138526e-07,4.188126826629743e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,64,3016.24658203125,5734.0,0.6,1672.0390625,18.185699462890625,0.0078125
