task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,ram_total_size,tracking_mode,on_cloud,gpu_util_pct,gpu_active_mem_mb,gpu_reserved_mem_mb,cpu_util_pct,process_ram_res_mb,system_ram_gb,disk_read_mb
Backward pass #1,2026-03-09T11:51:36,energy-efficiency,5e3a1752-d7a1-44fb-920a-72d5f86e9530,1.1799196675419807,5.671209007956833e-07,4.806948377026508e-07,360.0,69.52626607506639,10.0,0.00011797445416450501,2.278474045169787e-05,3.276813557992379e-06,0.00014403600817419526,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,8,1526.3115234375,4086.0,0.4,4678.92578125,13.366527557373047,0.0
Backward pass #2,2026-03-09T11:51:36,energy-efficiency,5e3a1752-d7a1-44fb-920a-72d5f86e9530,0.19755197316408157,1.0996634521845604e-07,5.566551723902018e-07,360.0,138.7940043695611,10.0,1.9761014729738238e-05,7.6191727487184835e-06,5.488015193906099e-07,2.792898899784733e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,53,3022.49755859375,5734.0,0.4,4743.9296875,13.423210144042969,0.0
Backward pass #3,2026-03-09T11:51:36,energy-efficiency,5e3a1752-d7a1-44fb-920a-72d5f86e9530,0.19538488239049911,1.1733111270982728e-07,6.0059768225275e-07,360.0,179.9468797237045,10.0,1.950662098824978e-05,9.751118909662182e-06,5.417351093557145e-07,2.979947500726768e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,78,3020.84130859375,5734.0,0.4,4743.734375,13.423736572265625,0.0
Backward pass #4,2026-03-09T11:51:37,energy-efficiency,5e3a1752-d7a1-44fb-920a-72d5f86e9530,0.19493180513381958,1.1934227975986766e-07,6.13911741011662e-07,360.0,191.76400099486327,10.0,1.9423600658774367e-05,1.0347230499974103e-05,5.394352393017876e-07,3.0310266398050266e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,74,3020.84130859375,5734.0,0.4,4749.29296875,13.427669525146484,0.0
Backward pass #5,2026-03-09T11:51:37,energy-efficiency,5e3a1752-d7a1-44fb-920a-72d5f86e9530,0.19567502662539482,1.1574789574029769e-07,5.917925818658217e-07,360.0,177.52937094914867,10.0,1.9328378885984424e-05,9.532229867659225e-06,5.367645993828772e-07,2.9397373353026517e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,75,3020.84130859375,5734.0,0.4,4755.328125,13.430793762207031,0.0
Backward pass #6,2026-03-09T11:51:37,energy-efficiency,5e3a1752-d7a1-44fb-920a-72d5f86e9530,0.19586024805903435,1.1387239153152502e-07,5.816370959046368e-07,360.0,166.20574679789942,10.0,1.9416786730289468e-05,8.965007168626471e-06,5.392433868514167e-07,2.8921037285767304e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,88,3020.84130859375,5734.0,0.5,4755.6640625,13.432235717773438,0.0
Backward pass #7,2026-03-09T11:51:37,energy-efficiency,5e3a1752-d7a1-44fb-920a-72d5f86e9530,0.19677599892020226,1.1200416202160803e-07,5.69630357219359e-07,360.0,157.59376167397116,10.0,1.9409985095262514e-05,8.497506797766619e-06,5.390569360719784e-07,2.844654882910115e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,74,3020.84130859375,5734.0,0.4,4760.69921875,13.435359954833984,0.0
Backward pass #8,2026-03-09T11:51:38,energy-efficiency,5e3a1752-d7a1-44fb-920a-72d5f86e9530,0.1968752034008503,1.1852605979990466e-07,6.023306842892416e-07,360.0,182.54934633830808,10.0,1.96124464273453e-05,9.94584128477527e-06,5.44677095280753e-07,3.0102964807401347e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,77,3020.84130859375,5734.0,0.5,4761.359375,13.437042236328125,0.0
Backward pass #9,2026-03-09T11:51:38,energy-efficiency,5e3a1752-d7a1-44fb-920a-72d5f86e9530,0.19527696073055267,1.2293611577519392e-07,6.297267879925687e-07,360.0,207.66809190908216,10.0,1.945763304829598e-05,1.1225008989868002e-05,5.40378224104643e-07,3.1223020262268625e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,72,3020.84130859375,5734.0,0.5,4761.921875,13.43680191040039,0.0
Backward pass #10,2026-03-09T11:51:38,energy-efficiency,5e3a1752-d7a1-44fb-920a-72d5f86e9530,0.1968502514064312,1.240743363478259e-07,6.304792640510709e-07,360.0,211.8629052492737,10.0,1.9496200978755967e-05,1.1474453629034542e-05,5.414481895665319e-07,3.151210279735703e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,75,3020.84130859375,5734.0,0.4,4768.96875,13.440044403076172,0.0
