task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,ram_total_size,tracking_mode,on_cloud,gpu_util_pct,gpu_active_mem_mb,gpu_reserved_mem_mb,cpu_util_pct,process_ram_res_mb,system_ram_gb,disk_read_mb
Forward pass #1,2026-03-08T12:42:26,energy-efficiency,912531cc-1c8f-4d0a-9bc1-5c72e5d82082,1.53813611343503,7.389926848828098e-07,4.80507240288719e-07,360.0,69.37476536948846,10.0,0.0001537808433175087,2.9635301487473953e-05,4.271447472274304e-06,0.00018768759227725694,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,0,6073.06689453125,6348.0,0.4,4676.359375,13.276134490966797,0.05078125
Forward pass #2,2026-03-08T12:42:28,energy-efficiency,912531cc-1c8f-4d0a-9bc1-5c72e5d82082,0.14201916009187698,9.466712081062606e-08,6.674938209309043e-07,360.0,234.15651488510537,10.0,1.4326324686408047e-05,9.31917411151062e-06,3.9782982526553965e-07,2.4043328623184207e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,37,7582.9091796875,8022.0,0.4,4858.91796875,13.428813934326172,0.05078125
Forward pass #3,2026-03-08T12:42:28,energy-efficiency,912531cc-1c8f-4d0a-9bc1-5c72e5d82082,0.14414094761013985,7.288830889494792e-08,5.07182800181303e-07,360.0,92.90990793562437,10.0,1.4396389201283468e-05,3.715836314199805e-06,3.997726158963305e-07,1.8511998131379577e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,100,7581.8466796875,8344.0,0.4,4863.7890625,13.432880401611328,0.05078125
Forward pass #4,2026-03-08T12:42:29,energy-efficiency,912531cc-1c8f-4d0a-9bc1-5c72e5d82082,0.14447233080863953,7.701751765119361e-08,5.336723615520209e-07,360.0,118.1948006354846,10.0,1.4424054697155953e-05,4.736114902925692e-06,4.005550820794368e-07,1.9560724682161077e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,100,7581.8466796875,8492.0,0.5,4864.875,13.432716369628906,0.05078125
Forward pass #5,2026-03-08T12:42:29,energy-efficiency,912531cc-1c8f-4d0a-9bc1-5c72e5d82082,0.14405958354473114,1.030077326048639e-07,7.161695366699836e-07,360.0,285.1184676466648,10.0,1.4375777170062067e-05,1.1386675780045152e-05,3.9920428146918605e-07,2.6161657231576368e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,95,7581.8466796875,8492.0,0.4,4869.61328125,13.435794830322266,0.05078125
Forward pass #6,2026-03-08T12:42:29,energy-efficiency,912531cc-1c8f-4d0a-9bc1-5c72e5d82082,0.14415955543518066,8.001103467189309e-08,5.55866219753629e-07,360.0,138.64490267048853,10.0,1.438218317925929e-05,5.539448892477594e-06,3.9937889410389773e-07,2.0321010965840822e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,100,7581.8466796875,8492.0,0.4,4872.00390625,13.437065124511719,0.05078125
Forward pass #7,2026-03-08T12:42:30,energy-efficiency,912531cc-1c8f-4d0a-9bc1-5c72e5d82082,0.1443217694759369,1.0691767564692209e-07,7.419893808089496e-07,360.0,308.87634041546494,10.0,1.4399267360568047e-05,1.2355565445432148e-05,3.998623953925238e-07,2.71546952013927e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,100,7581.8466796875,8492.0,0.4,4872.48046875,13.437301635742188,0.05078125
Forward pass #8,2026-03-08T12:42:30,energy-efficiency,912531cc-1c8f-4d0a-9bc1-5c72e5d82082,0.14428364485502243,7.924165616679554e-08,5.500089104741086e-07,360.0,133.06896168320918,10.0,1.4401776343584078e-05,5.32389316276749e-06,3.9993654936552065e-07,2.0125606055717074e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,95,7581.8466796875,8492.0,0.5,4877.0234375,13.439929962158203,0.05078125
Forward pass #9,2026-03-08T12:42:31,energy-efficiency,912531cc-1c8f-4d0a-9bc1-5c72e5d82082,0.1441146731376648,8.119860326943808e-08,5.64303696486136e-07,360.0,146.56445767811474,10.0,1.4371853694319719e-05,5.851671346590592e-06,3.991017532017497e-07,2.0622626794112035e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,100,7581.8466796875,8492.0,0.4,4879.99609375,13.440631866455078,0.05078125
Forward pass #10,2026-03-08T12:42:31,energy-efficiency,912531cc-1c8f-4d0a-9bc1-5c72e5d82082,0.14409876614809036,1.0132065856277882e-07,7.042064110021427e-07,360.0,274.1921267403363,10.0,1.4380238205194483e-05,1.0953619863585118e-05,3.9932013799746793e-07,2.5733178206777086e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,100,7581.8466796875,8492.0,0.5,4883.54296875,13.441692352294922,0.05078125
