task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,ram_total_size,tracking_mode,on_cloud,gpu_util_pct,gpu_active_mem_mb,gpu_reserved_mem_mb,cpu_util_pct,process_ram_res_mb,system_ram_gb,disk_read_mb
Optimisation step #1,2026-03-09T19:40:59,energy-efficiency,3ba5f828-1427-4395-841d-e9d2202e7101,0.1018487811088562,6.136388840088214e-08,5.993885746415477e-07,360.0,177.21055017834252,10.0,1.0252411663532257e-05,5.048059591672427e-06,2.845821591715018e-07,1.5585053414376188e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,8,3025.3095703125,4114.0,0.4,4729.9375,13.473968505859375,0.02734375
Optimisation step #2,2026-03-09T19:40:59,energy-efficiency,3ba5f828-1427-4395-841d-e9d2202e7101,0.0660424642264843,2.6851048182424224e-08,4.054295383676773e-07,360.0,0.0,10.0,6.635359674692155e-06,0.0,1.8420523653427758e-07,6.81956491122643e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,22,3022.49755859375,5734.0,0.4,4732.23828125,13.47580337524414,0.02734375
Optimisation step #3,2026-03-09T19:41:00,energy-efficiency,3ba5f828-1427-4395-841d-e9d2202e7101,0.06588026136159897,4.493820145873067e-08,6.764640492833333e-07,360.0,246.96026257176916,10.0,6.659252196550368e-06,4.569170329205008e-06,1.8487425727976696e-07,1.141329678303514e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,73,3020.84130859375,5734.0,0.4,4738.15625,13.480850219726562,0.02734375
Optimisation step #4,2026-03-09T19:41:00,energy-efficiency,3ba5f828-1427-4395-841d-e9d2202e7101,0.0661306232213974,4.641953937437489e-08,6.9674624289802e-07,360.0,265.9400352855539,10.0,6.673417985439299e-06,4.93083727803878e-06,1.8526817568474346e-07,1.1789523439162821e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,75,3020.84130859375,5734.0,0.4,4739.14453125,13.480037689208984,0.02734375
Optimisation step #5,2026-03-09T19:41:00,energy-efficiency,3ba5f828-1427-4395-841d-e9d2202e7101,0.06668750196695328,3.912170561345873e-08,5.841413175801618e-07,360.0,166.16250628726797,10.0,6.6711109131574605e-06,3.07972469215656e-06,1.85201492988401e-07,9.936037098302425e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,91,3020.84130859375,5734.0,0.4,4742.66796875,13.482856750488281,0.02734375
Optimisation step #6,2026-03-09T19:41:00,energy-efficiency,3ba5f828-1427-4395-841d-e9d2202e7101,0.06784404814243317,2.6908779505677808e-08,3.9421123850224313e-07,360.0,0.0,10.0,6.649624556303027e-06,0.0,1.8460281814138097e-07,6.834227374444403e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,74,3020.84130859375,5734.0,0.4,4745.93359375,13.484298706054688,0.02734375
Optimisation step #7,2026-03-09T19:41:01,energy-efficiency,3ba5f828-1427-4395-841d-e9d2202e7101,0.0699845403432846,4.360189040263332e-08,6.186136157489296e-07,360.0,226.91645672103485,10.0,6.678219884634019e-06,4.210281147720707e-06,1.8540266901254646e-07,1.1073903701367272e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,74,3020.84130859375,5734.0,0.4,4746.7265625,13.48501968383789,0.02734375
Optimisation step #8,2026-03-09T19:41:01,energy-efficiency,3ba5f828-1427-4395-841d-e9d2202e7101,0.0686478354036808,4.733523137986242e-08,6.850332921669723e-07,360.0,257.78816632013917,10.0,6.893481686711314e-06,4.937226165679931e-06,1.9138084931506054e-07,1.20220887017063e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,73,3020.84130859375,5734.0,0.4,4752.73828125,13.489826202392578,0.02734375
Optimisation step #9,2026-03-09T19:41:01,energy-efficiency,3ba5f828-1427-4395-841d-e9d2202e7101,0.06884681060910225,4.49659452102526e-08,6.481526789975272e-07,360.0,248.51201983974923,10.0,6.646646931767458e-06,4.58917034507067e-06,1.8452579776446034e-07,1.142034307460259e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,73,3020.84130859375,5734.0,0.4,4759.07421875,13.494861602783203,0.02734375
Optimisation step #10,2026-03-09T19:41:02,energy-efficiency,3ba5f828-1427-4395-841d-e9d2202e7101,0.07001039013266563,4.051509107847091e-08,5.747323025619799e-07,360.0,185.03125093302626,10.0,6.673813238739962e-06,3.4308360881141198e-06,1.8527647480368598e-07,1.0289925801657771e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,87,3020.84130859375,5734.0,0.5,4759.61328125,13.494621276855469,0.02734375
Optimisation step #11,2026-03-09T19:41:02,energy-efficiency,3ba5f828-1427-4395-841d-e9d2202e7101,0.06758496910333633,2.7968397313606656e-08,4.106384124583358e-07,360.0,0.0,10.0,6.911467015743259e-06,0.0,1.9187955185771007e-07,7.1033465676009685e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,72,3020.84130859375,5734.0,0.5,4759.84765625,13.496036529541016,0.02734375
Optimisation step #12,2026-03-09T19:41:02,energy-efficiency,3ba5f828-1427-4395-841d-e9d2202e7101,0.06998210772871971,4.801185152243119e-08,6.809430925261965e-07,360.0,284.52284827534277,10.0,6.706364825367927e-06,5.30139314491862e-06,1.861770947774252e-07,1.2193935065063976e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,73,3020.84130859375,5734.0,0.5,4766.05859375,13.50009536743164,0.02734375
Optimisation step #13,2026-03-09T19:41:02,energy-efficiency,3ba5f828-1427-4395-841d-e9d2202e7101,0.06985102966427803,4.643882863572419e-08,6.617227068099871e-07,360.0,265.8317342776609,10.0,6.677373498678211e-06,4.931670588348425e-06,1.853783925374347e-07,1.1794422479564058e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,97,3020.84130859375,5734.0,0.4,4766.59375,13.501388549804688,0.02734375
Optimisation step #14,2026-03-09T19:41:03,energy-efficiency,3ba5f828-1427-4395-841d-e9d2202e7101,0.06616746261715889,4.536711634235585e-08,6.828005553150756e-07,360.0,253.12457797736278,10.0,6.656327843666072e-06,4.681114859295121e-06,1.8478885499967456e-07,1.1522231557960878e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,73,3020.84130859375,5734.0,0.5,4773.64453125,13.506195068359375,0.02734375
